Player,Wk,Opp,Result,Rec_R,Yds_R,Lng_R,TD_R,Att,Yds,Avg,Lng,TD,Fum,Lost
Puka Nacua,12,Eagles,L 20 - 37,9,117,13,29,0,,,,,,
Puka Nacua,11,@Patriots,W 28 - 22,7,123,17.6,37,1,,,,,,
Puka Nacua,10,Dolphins,L 15 - 23,9,98,10.9,21,0,,,,,,
Puka Nacua,9,@Seahawks,W 26 - 20,1,11,11,11,0,,,,,,
Puka Nacua,8,Vikings,W 30 - 20,7,106,15.1,21,0,2,5,2.5,7,0,
Puka Nacua,1,@Lions,L 20 - 26,4,35,8.8,16,0,1,7,7,7,0,
De'Von Achane,18,@Jets,L 20 - 32,11,121,11,61,1,,,,,,
De'Von Achane,17,@Browns,W 20 - 3,10,25,2.5,9,0,2,13,6.5,12,0,
De'Von Achane,16,49ers,W 29 - 17,17,120,7.1,50,1,6,70,11.7,20,0,
De'Von Achane,15,@Texans,L 12 - 20,12,41,3.4,7,0,7,35,5,13,0,1
De'Von Achane,14,Jets,W 32 - 26,14,24,1.7,7,1,6,45,7.5,14,0,
De'Von Achane,13,@Packers,L 17 - 30,7,14,2,13,0,8,56,7,14,1,
De'Von Achane,12,Patriots,W 34 - 15,10,32,3.2,9,0,3,24,8,11,2,
De'Von Achane,11,Raiders,W 34 - 19,17,73,4.3,30,1,4,32,8,17,0,
De'Von Achane,10,@Rams,W 23 - 15,12,37,3.1,15,0,5,15,3,10,0,
De'Von Achane,9,@Bills,L 27 - 30,12,63,5.2,12,1,8,58,7.2,18,1,
De'Von Achane,8,Cardinals,L 27 - 28,10,97,9.7,47,0,6,50,8.3,16,1,
De'Von Achane,7,@Colts,L 10 - 16,15,77,5.1,15,0,2,8,4,9,0,
De'Von Achane,5,@Patriots,W 15 - 10,3,18,6,12,0,1,-1,-1,-1,0,
De'Von Achane,4,Titans,L 12 - 31,10,15,1.5,5,0,3,14,4.7,5,0,
De'Von Achane,3,@Seahawks,L 3 - 24,11,30,2.7,13,0,3,28,9.3,22,0,
De'Von Achane,2,Bills,L 10 - 31,22,96,4.4,17,0,7,69,9.9,16,1,
De'Von Achane,1,Jaguars,W 20 - 17,10,24,2.4,9,1,7,76,10.9,39,0,
George Kittle,18,@Cardinals,L 24 - 47,2,27,13.5,21,0,,,,,,
George Kittle,17,Lions,L 34 - 40,8,112,14,22,0,,,,,,
George Kittle,16,@Dolphins,L 17 - 29,8,106,13.2,28,0,,,,,,
George Kittle,15,Rams,L 6 - 12,4,61,15.2,33,0,,,,,,
George Kittle,14,Bears,W 38 - 13,6,151,25.2,33,0,,,,,,
George Kittle,13,@Bills,L 10 - 35,1,7,7,7,0,,,,,,
George Kittle,12,@Packers,L 10 - 38,6,82,13.7,31,1,,,,,,
George Kittle,11,Seahawks,L 17 - 20,,,,,,,,,,,
George Kittle,10,@Buccaneers,W 23 - 20,3,57,19,33,1,,,,,,
George Kittle,8,Cowboys,W 30 - 24,6,128,21.3,43,1,,,,,,
George Kittle,7,Chiefs,L 18 - 28,6,92,15.3,41,0,,,,,,
George Kittle,6,@Seahawks,W 36 - 24,5,58,11.6,29,2,,,,,,
George Kittle,5,Cardinals,L 23 - 24,8,64,8,15,1,,,,,,
George Kittle,4,Patriots,W 30 - 13,4,45,11.2,15,1,,,,,,
George Kittle,3,@Rams,L 24 - 27,,,,,,,,,,,
George Kittle,2,@Vikings,L 17 - 23,7,76,10.9,25,1,,,,,,
George Kittle,1,Jets,W 32 - 19,4,40,10,26,0,,,,,,
