Player,WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT,YDS,AVG,TD,FUM,LOST
C.J. Stroud,3,@Vikings,L 7 - 34,20,31,215,6.9,1,2,4,42,68.6,3,12,4,0,,
C.J. Stroud,4,Jaguars,W 24 - 20,27,40,345,8.6,2,0,2,11,110.9,3,17,5.7,0,,
C.J. Stroud,5,Bills,W 23 - 20,28,38,331,8.7,1,1,1,0,97.6,3,27,9,0,1,1
C.J. Stroud,6,@Patriots,W 41 - 21,20,31,192,6.2,3,1,2,16,100.5,3,7,2.3,0,1,0
C.J. Stroud,7,@Packers,L 22 - 24,10,21,86,4.1,0,0,4,31,58.8,5,19,3.8,0,,
C.J. Stroud,8,Colts,W 23 - 20,25,37,285,7.7,1,0,2,18,99.5,1,-10,-10,0,1,1
C.J. Stroud,9,@Jets,L 13 - 21,11,30,191,6.4,0,0,8,56,59.2,8,59,7.4,0,1,1
C.J. Stroud,10,Lions,L 23 - 26,19,33,232,7,1,2,4,40,64.2,1,5,5,0,1,0
C.J. Stroud,11,@Cowboys,W 34 - 10,23,34,257,7.6,0,1,1,7,77.7,3,26,8.7,0,,
C.J. Stroud,12,Titans,L 27 - 32,20,33,247,7.5,2,2,4,27,78.7,3,18,6,0,,
C.J. Stroud,13,@Jaguars,W 23 - 20,22,34,242,7.1,1,0,2,24,95.5,5,7,1.4,0,,
C.J. Stroud,15,Dolphins,W 20 - 12,18,26,131,5,2,0,4,27,106.4,6,4,0.7,0,1,1
C.J. Stroud,16,@Chiefs,L 19 - 27,23,39,244,6.3,2,2,2,17,73,2,23,11.5,0,,
C.J. Stroud,17,Ravens,L 2 - 31,17,31,185,6,0,1,5,37,59.2,1,7,7,0,,
C.J. Stroud,18,@Titans,W 23 - 14,6,6,50,8.3,1,0,0,0,141,0,0,0,0,,

