Player,WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT,YDS,AVG,TD,FUM,LOST
Jared Goff,14,Packers,W 34 - 31,32,41,283,6.9,3,1,1,3,109.6,4,7,1.8,0,0,0
Jared Goff,15,Bills,L 42 - 48,38,59,494,8.4,5,0,3,21,118.9,2,13,6.5,0,1,0
Jared Goff,16,@Bears,W 34 - 17,23,32,336,10.5,3,0,1,7,137,1,-1,-1,0,0,0
Jared Goff,17,@49ers,W 40 - 34,26,34,303,8.9,3,0,2,16,132.4,3,-3,-1,0,0,0
Jared Goff,18,Vikings,W 31 - 9,27,33,231,7,1,2,2,15,80.7,,,,
Baker Mayfield,1,Commanders,W 37 - 20,24,30,289,9.6,4,0,1,9,146.4,3,21,7,0,0,0
Baker Mayfield,2,@Lions,W 20 - 16,12,19,185,9.7,1,1,5,39,90.9,5,34,6.8,1,2,0
Baker Mayfield,3,Broncos,L 7 - 26,25,33,163,4.9,1,1,7,31,83.3,,,,
Baker Mayfield,4,Eagles,W 33 - 16,30,47,347,7.4,2,0,2,13,100.2,4,10,2.5,1,1,0
Baker Mayfield,5,@Falcons,L 30 - 36,19,24,180,7.5,3,0,1,7,137.5,6,42,7,0,0,0
Baker Mayfield,6,@Saints,W 51 - 27,24,36,325,9,4,3,1,8,97.6,3,29,9.7,0,0,0
Baker Mayfield,7,Ravens,L 31 - 41,31,45,370,8.2,3,2,3,14,97.4,5,22,4.4,0,0,0
Baker Mayfield,8,Falcons,L 26 - 31,37,50,330,6.6,3,2,0,0,94.6,3,11,3.7,0,1,0
Baker Mayfield,9,@Chiefs,L 24 - 30,23,31,200,6.4,2,0,2,11,112.3,4,20,5,0,0,0
Baker Mayfield,10,49ers,L 20 - 23,18,29,116,4,1,0,2,11,82,3,3,1,0,3,0
Baker Mayfield,12,@Giants,W 30 - 7,24,30,294,9.8,0,0,0,0,107.5,4,29,7.2,1,2,1
Baker Mayfield,13,@Panthers,W 26 - 23,21,33,235,7.1,1,2,4,31,69.6,3,8,2.7,0,2,0
Baker Mayfield,14,Raiders,W 28 - 13,18,29,295,10.2,3,2,4,27,101.9,2,12,6,0,1,1
Baker Mayfield,15,@Chargers,W 40 - 17,22,27,288,10.7,4,1,1,5,135.3,2,25,12.5,0,0,0
Baker Mayfield,16,@Cowboys,L 24 - 26,31,43,303,7,2,1,4,27,97.3,3,42,14,0,1,0
Baker Mayfield,17,Panthers,W 48 - 14,27,32,359,11.2,5,0,2,10,153,1,2,2,0,0,0
Baker Mayfield,18,Saints,W 27 - 19,21,32,221,6.9,2,1,1,5,93.4,9,68,7.6,0,0,0
Geno Smith,1,Broncos,W 26 - 20,18,25,171,6.8,1,1,2,13,87.2,4,30,7.5,1,0
Geno Smith,2,@Patriots,W 23 - 20,33,44,327,7.4,1,0,3,15,103.1,5,8,1.6,0,0
Geno Smith,3,Dolphins,W 24 - 3,26,34,289,8.5,1,2,3,19,86.5,2,-2,-1,0,1,0
Geno Smith,4,@Lions,L 29 - 42,38,56,395,7,1,1,3,12,86.5,5,38,7.6,0,0
Geno Smith,5,Giants,L 20 - 29,28,40,284,7.1,1,0,7,53,98.3,4,72,18,0,0
