Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Alec Pierce,37,824,7,13,7,65,32,86.5,0,118,69
Calvin Austin III,36,548,4,10,3,55,18,50,0,152,58
Najee Harris,36,283,0,4,0,32,13,36.1,0,329,48
Andrei Iosivas,36,479,6,7,0,39,26,72.2,0,67,61
Josh Jacobs,36,342,1,5,1,49,15,41.7,0,403,43
Alexander Mattison,36,294,1,3,0,31,13,36.1,0,314,48
Joe Mixon,36,309,1,4,0,37,12,33.3,0,360,52
David Montgomery,36,341,0,2,1,40,16,44.4,0,365,38
Noah Brown,35,453,1,4,1,52,21,60,0,83,56
Austin Ekeler,35,366,0,8,0,34,14,40,1,424,41
Kyren Williams,34,182,2,1,0,26,6,17.6,0,179,40
Saquon Barkley,33,278,2,4,1,43,12,36.4,0,245,43
Diontae Johnson,33,375,3,5,0,39,21,63.6,0,91,67
Tim Patrick,33,394,3,6,1,42,20,60.6,0,141,44
Ja'Tavion Sanders,33,342,1,6,1,46,13,39.4,1,190,43
Rhamondre Stevenson,33,168,1,0,0,16,8,24.2,1,237,41
Jalen Coker,32,478,2,6,1,83,23,71.9,0,171,46
James Cook,32,258,2,3,0,28,14,43.8,0,260,38
J.K. Dobbins,32,153,0,0,0,15,6,18.8,0,204,38
David Moore,32,351,3,2,0,21,18,56.2,0,60,57
Foster Moreau,32,413,5,7,1,41,21,65.6,0,158,43
Chris Olave,32,400,1,4,0,39,22,68.8,1,121,44
Sterling Shepard,32,334,1,4,0,30,16,50,0,99,51
Parker Washington,32,390,3,6,0,30,19,59.4,1,108,51
Nick Westbrook-Ikhine,32,497,9,4,1,98,25,78.1,0,124,60
Mack Hollins,31,378,5,4,1,44,25,80.6,0,90,50
Lil'Jordan Humphrey,31,293,1,5,1,41,12,38.7,2,192,45
Ricky Pearsall,31,400,3,5,2,46,19,61.3,0,114,46
Demarcus Robinson,31,505,7,9,2,46,27,87.1,0,61,64
Curtis Samuel,31,253,1,2,0,38,9,29,0,160,46
KaVontae Turpin,31,420,2,6,1,64,18,58.1,1,260,52
AJ Barner,30,245,4,1,0,20,18,60,0,164,38
Dyami Brown,30,308,1,5,2,51,13,43.3,1,218,40
Colby Parkinson,30,294,1,2,0,23,15,50,0,152,49
Tyjae Spears,30,224,1,2,1,43,9,30,0,255,35
Keon Coleman,29,556,4,12,4,64,22,75.9,0,215,57
Theo Johnson,29,331,1,4,0,35,16,55.2,0,149,43
Cedric Tillman,29,339,3,6,0,38,15,51.7,1,104,49
Christian Watson,29,620,2,12,5,60,21,72.4,1,149,53
Kendrick Bourne,28,305,1,2,0,37,13,46.4,0,94,38
Troy Franklin,28,263,2,5,0,30,11,39.3,0,163,53
Jalen Nailor,28,414,6,8,0,33,22,78.6,0,106,42
Samaje Perine,28,322,1,5,0,36,16,57.1,0,313,35
Josh Whyle,28,248,1,3,0,33,14,50,0,143,37
Christian Kirk,27,379,1,7,1,61,18,66.7,0,113,47
Luke Schoonmaker,27,241,1,3,0,24,11,40.7,0,97,36
Brandin Cooks,26,259,3,3,0,29,19,73.1,0,55,54
Tyler Johnson,26,291,1,4,1,63,10,38.5,0,180,41
